x-coordinate,y-coordinate,Similarity_score
1,50,3.0069266181960064e-16
1,51,3.0069266181960064e-16
1,52,3.0069266181960064e-16
1,53,3.0069266181960064e-16
1,54,3.0069266181960064e-16
1,55,3.0069266181960064e-16
1,56,3.0069266181960064e-16
1,57,3.0069266181960064e-16
1,58,3.0069266181960064e-16
1,59,3.0069266181960064e-16
1,60,3.0069266181960064e-16
1,61,2.993058225370025e-16
1,62,3.0069266181960064e-16
1,63,3.0069266181960064e-16
1,64,3.0069266181960064e-16
1,65,3.0069266181960064e-16
1,66,3.0069266181960064e-16
1,67,3.0069266181960064e-16
1,68,3.0069266181960064e-16
1,69,3.0069266181960064e-16
1,70,3.0069266181960064e-16
1,71,3.0069266181960064e-16
1,72,3.0069266181960064e-16
1,73,3.0069266181960064e-16
1,74,3.0069266181960064e-16
1,75,3.0069266181960064e-16
1,76,2.949469565429865e-16
1,77,3.0069266181960064e-16
1,78,3.0069266181960064e-16
1,79,3.0069266181960064e-16
1,80,3.0069266181960064e-16
1,81,2.902477457910896e-16
1,82,3.0069266181960064e-16
1,83,3.0069266181960064e-16
1,84,3.0069266181960064e-16
1,85,3.0069266181960064e-16
1,86,3.0069266181960064e-16
1,87,2.7893897095493885e-16
1,88,3.0069266181960064e-16
1,89,3.0069266181960064e-16
1,90,3.0069266181960064e-16
1,91,3.0069266181960064e-16
1,92,3.0069266181960064e-16
1,93,3.0069266181960064e-16
1,94,3.0069266181960064e-16
1,95,3.0069266181960064e-16
1,96,3.0069266181960064e-16
1,97,3.0069266181960064e-16
1,98,3.0069266181960064e-16
1,99,3.0069266181960064e-16
1,100,3.0069266181960064e-16
1,101,3.0069266181960064e-16
1,102,3.0069266181960064e-16
1,103,3.0069266181960064e-16
1,104,3.0069266181960064e-16
1,105,3.0069266181960064e-16
1,106,3.0069266181960064e-16
1,107,3.0069266181960064e-16
1,108,3.0069266181960064e-16
1,109,3.0069266181960064e-16
1,110,3.0069266181960064e-16
1,111,3.0069266181960064e-16
1,112,3.0069266181960064e-16
1,113,3.0069266181960064e-16
1,114,3.0069266181960064e-16
1,115,3.0069266181960064e-16
1,116,3.0069266181960064e-16
1,117,3.0069266181960064e-16
1,118,3.0069266181960064e-16
1,119,3.0069266181960064e-16
1,120,3.0069266181960064e-16
1,121,3.0069266181960064e-16
1,122,3.0069266181960064e-16
1,123,3.0069266181960064e-16
1,124,3.0069266181960064e-16
1,125,3.0069266181960064e-16
1,126,3.0069266181960064e-16
1,127,3.0069266181960064e-16
1,128,3.0069266181960064e-16
1,129,3.0069266181960064e-16
1,130,3.0069266181960064e-16
1,131,3.0069266181960064e-16
1,132,3.0069266181960064e-16
1,133,3.0069266181960064e-16
1,134,3.0069266181960064e-16
1,135,3.0069266181960064e-16
1,136,3.0069266181960064e-16
1,137,3.0069266181960064e-16
1,138,3.0069266181960064e-16
1,139,3.0069266181960064e-16
1,140,3.0069266181960064e-16
1,141,3.0069266181960064e-16
1,142,3.0069266181960064e-16
1,143,3.0069266181960064e-16
1,144,3.0069266181960064e-16
1,145,3.0069266181960064e-16
1,146,3.0069266181960064e-16
1,147,3.0069266181960064e-16
1,148,3.0069266181960064e-16
1,149,3.0069266181960064e-16
1,150,3.0069266181960064e-16
1,151,3.0069266181960064e-16
1,152,3.0069266181960064e-16
1,153,3.0069266181960064e-16
1,154,3.0069266181960064e-16
1,155,3.0069266181960064e-16
1,156,3.0069266181960064e-16
1,157,3.0069266181960064e-16
1,158,3.0069266181960064e-16
1,159,3.0069266181960064e-16
1,160,3.0069266181960064e-16
1,161,3.0069266181960064e-16
1,162,3.0069266181960064e-16
1,163,3.0069266181960064e-16
1,164,3.0069266181960064e-16
1,165,3.0069266181960064e-16
1,166,3.0069266181960064e-16
1,167,3.0069266181960064e-16
1,168,3.0069266181960064e-16
1,169,3.0069266181960064e-16
1,170,3.0069266181960064e-16
1,171,3.0069266181960064e-16
1,172,3.0069266181960064e-16
1,173,3.0069266181960064e-16
1,174,3.0069266181960064e-16
1,175,3.0069266181960064e-16
1,176,3.0069266181960064e-16
1,177,3.0069266181960064e-16
1,178,3.0069266181960064e-16
1,179,3.0069266181960064e-16
1,180,3.0069266181960064e-16
1,181,3.0069266181960064e-16
1,182,3.0069266181960064e-16
1,183,3.0069266181960064e-16
1,184,3.0069266181960064e-16
1,185,3.0069266181960064e-16
1,186,3.0069266181960064e-16
1,187,3.0069266181960064e-16
1,188,3.0069266181960064e-16
1,189,3.0069266181960064e-16
1,190,3.0069266181960064e-16
1,191,3.0069266181960064e-16
1,192,3.0069266181960064e-16
1,193,3.0069266181960064e-16
1,194,3.0069266181960064e-16
1,195,3.0069266181960064e-16
1,196,3.0069266181960064e-16
1,197,3.0069266181960064e-16
1,198,3.0069266181960064e-16
1,199,3.0069266181960064e-16
1,200,3.0069266181960064e-16
1,201,3.0069266181960064e-16
1,202,3.0069266181960064e-16
1,203,3.0069266181960064e-16
1,204,3.0069266181960064e-16
1,205,3.0069266181960064e-16
1,206,3.0069266181960064e-16
1,207,3.0069266181960064e-16
1,208,3.0069266181960064e-16
1,209,3.0069266181960064e-16
1,210,3.0069266181960064e-16
1,211,3.0069266181960064e-16
1,212,3.0069266181960064e-16
1,213,3.0069266181960064e-16
2,3,2.871028270771294e-16
2,4,2.871028270771294e-16
2,5,2.871028270771294e-16
2,6,2.871028270771294e-16
2,7,2.871028270771294e-16
2,8,2.871028270771294e-16
